Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,...36,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV,PCR_Result,ELISA_Result
11/2/2021,desert,RR,AH,netgun:QS,AH30,P1801,NA,49985,NA,60,F,4+,NA,103.8,103.1,NA,103.8,NA,1,NA,1,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,BCS=2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH31,Y564,NA,50007,NA,62,F,6+,NA,105,106,106.1,106.1,NA,1,NA,1,NA,1,NA,NA,NA,831,840,9,NA,NA,NA,NA,"ENEMA, BANAMINE, RECAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH32,P1555,NA,49961,NA,70,F,4+,NA,105,105,NA,105,NA,1,NA,1,NA,1,NA,NA,1,902,911,9,NA,NA,NA,NA,BANAMINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH33,P1554,NA,49962,NA,58,F,4,NA,103.5,103.6,103.7,103.7,NA,1,NA,1,NA,1,NA,1,1,902,912,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH34,P1556,NA,49965,NA,57,F,6,NA,104.3,103.8,103.3,104.3,NA,1,NA,1,NA,1,0.19,1,1,930,940,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH35,P1558,NA,49963,NA,56,F,1,NA,107.4,NA,NA,107.4,NA,1,NA,1,NA,1,0.24,1,0,947,957,10,NA,NA,NA,NA,BCS=3; BANAMINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH36,P1557,NA,49986,NA,46,F,2,NA,105.3,105.6,105.7,105.7,NA,1,NA,1,NA,1,NA,NA,NA,929,938,9,NA,NA,NA,NA,ENEMA ADMINISTERED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH37,P1805,NA,49966,NA,44,F,1,NA,104.9,104.8,104.5,NA,NA,1,NA,1,NA,1,0.14,NA,0,1003,1015,12,NA,NA,NA,NA,BCS=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH38,G585,NA,49993,NA,56,F,8+,NA,102.2,102.2,NA,NA,NA,1,NA,1,NA,1,0.18,1,0,1045,1055,10,NA,NA,NA,NA,"BCS 3; ORNERY IN TRAILER, BROKEN HORNS, RECAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH39,P1804,NA,49984,NA,54,F,5+,NA,104,104.3,104.2,104.3,NA,1,NA,1,NA,1,0.31,NA,0,1046,1100,14,NA,NA,NA,NA,BCS=3.5; LOSING TEETH NATURALLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH40,P1819,NA,49997,NA,49,F,2,NA,104.5,105.1,105.1,105.1,NA,1,NA,1,NA,1,0.16,NA,NA,1115,1125,10,NA,NA,NA,NA,bcs=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH41,P1559,NA,49994,NA,62,F,3,NA,103.2,103.4,103.6,103.6,NA,1,NA,1,NA,1,0.44,NA,1,1134,1146,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH42,P1582,NA,50019,NA,49,F,2,NA,106.4,NA,NA,106.4,NA,1,NA,1,NA,1,NA,1,0,1203,1213,10,NA,NA,NA,NA,ENEMA; BANAMINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH43,P1820,NA,49958,NA,60,F,6+,NA,103.5,103.3,NA,103.5,NA,1,NA,1,NA,1,0.63,1,1,1135,1145,10,NA,NA,NA,NA,BCS 4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH44,P1581,NONE,NA,NA,55,M,2,NA,104.9,105,NA,105,NA,1,NA,1,NA,1,0.1,1,NA,1233,1243,10,NA,NA,NA,NA,BCS=2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH45,P1583,NA,49978,NA,64,F,4,NA,105.8,106,NA,106,NA,1,NA,1,NA,1,0.47,1,NOT CHECKED,1200,1210,10,NA,NA,NA,NA,BCS=4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH46,P1585,NONE,NA,NA,63,M,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1233,1244,11,NA,NA,NA,NA,ENEMA; BANAMINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH47,P1821,NA,49980,NA,66,M,3,NA,104.2,103.8,NA,104.2,NA,1,NA,1,NA,1,0,1,NA,1235,1245,10,NA,NA,NA,NA,BCS=2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH48,P1584,NA,49999,NA,60,F,6+,NA,103.8,103.8,NA,103.8,NA,1,NA,1,NA,1,0.34,1,1,1300,1310,10,NA,NA,NA,NA,BCS=4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH49,P1823,NA,50026,NA,82,M,3,NA,105,106,106.2,NA,NA,1,NA,1,NA,1,0.17,1,NA,1301,1311,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH50,P1591,NA,49967,NA,92,M,6,NA,103.8,103.3,NA,NA,NA,1,NA,1,NA,1,0.12,1,NA,1321,1328,7,NA,NA,NA,NA,BCS=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH51,P1841,NONE,NA,NA,57,M,2,NA,104.2,104.9,NA,104.9,NA,1,NA,1,NA,1,0.08,1,NA,1350,1402,12,NA,NA,NA,NA,BCS=2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/31/2021,desert,NA,FC,netgun:QS,FC114,D54,NA,NA,NA,54,F,4,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MORT AT PROCESSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/31/2021,desert,NA,FC,netgun:QS,FC115,P1833,NA,49983,148.9,61,F,6+,NA,102.1,101.6,101.4,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC116,P1599,NA,50006,149.36,66,F,6+,NA,102.3,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC117,P1597,NA,50009,149.42,88,M,6,NA,103.8,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC118,P1831,NA,49969,148.62,65,F,4+,NA,102,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC119,P1824,NA,50015,149.54,57,F,4+,NA,103.4,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC120,P1825,NA,49942,148.08,70,M,2,NA,103.8,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC121,P1826,NA,49953,148.3,55,F,4.5,NA,101.1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC122,P1827,NA,49970,148.64,54,F,3,NA,103.6,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC123,P1829,NA,49946,148.16,48,F,2,NA,103.7,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC124,P1561,NA,49977,148.78,49,F,2.5,NA,105,104.9,104.9,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC125,P1807,NA,49974,148.72,50,F,3,NA,105.9,105.5,106.3,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC126,P1562,NA,49945,148.14,62,F,5,NA,102.5,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC127,P1563,NA,NA,NA,51,M,1,NA,103.4,103.6,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC128,P1810,NA,49957,148.38,53,F,2,NA,103.4,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC129,P1564,NA,NA,NA,55,M,1,NA,104.1,104,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC130,P1811,NA,49949,148.22,53,F,6+,NA,103.5,103.5,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC131,P1592,NA,49951,148.26,60,F,3,NA,104.6,104.2,104.4,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC132,P1565,NA,49975,148.74,69,M,3,NA,104,103.7,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC133,P1566,NA,50012,149.48,73,F,6,NA,104.3,104.3,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC134,P1567,NA,49959,148.42,86,F,4,NA,103.6,104.3,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC135,P1089,NA,49952,148.28,71,M,3,NA,103.9,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/31/2021,desert,NA,FC,netgun:QS,FC136,P1806,NA,50016,149.56,75,M,6+,NA,102.8,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/31/2021,desert,NA,FC,netgun:QS,FC137,P1808,NA,49943,148.1,85,M,7,NA,105,105.4,105.2,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
10/30/2021,desert,NA,SA,netgun:QS,SAE205,P1838,NA,49960,148.440,NA,F,6,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROCESSED ON MTN (NO WEIGHT OR TEMPS),NA,1,0,NA,NA,NA,NA,NA,0,1
