Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial ,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2 ,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV
10/30/2021,desert,,SA,netgun:QS,SAE217,P1844,,50003,149.300,,F,8,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE218,P1830,,50008,149.400,,F,10+,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE219,P1834,,50013,149.500,,F,3,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE220,P1842,,50014,149.520,,F,4,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
8/17/2021,Rocky,,Gold Hill,dart,RR23,P1536,Y,49190,150.13,,F,Ad,,,,,,,,,1,,1,,1,,934,1000,,,,,,,,,,,,,,
8/17/2021,Rocky,,Gold Hill,dart,RR24,P1537,Y,49173,149.93,,F,Ad,,,,,,,,,1,1,1,,1,,1251,1302,,,,,,,,,,,,,,
8/26/2020,Rocky,,vermejo,dart,V1,O35,Y,46066,150.92,,F,4+,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
5/21/2020,Rocky,,RGG,dart,RR6,B37/Y94,Y,45868,149.93,,F,11+,,,,,,,,,1,1,1,,1,,13:12,13:35,,,,,,"CALLED 6+ AT CAPTURE IN 2015, RECAP 2020",,,,,,,,
5/21/2020,Rocky,,RGG,dart,RR8,B18/B10,Y,45847,150.27,,F,11+,,,,,,,,,1,1,1,,1,,,,,,,,,"CALLED 6+ AT CAPTURE IN 2015, RECAP 2020",,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH204,P1008,,44507,150.630,90,M,6,,103.5,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH205,P1009,,47309,149.630,80,F,6,,103.3,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH206,P696,,47315,149.690,72,F,6+,,105.1,105,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH207,P617,,47306,149.600,64,F,6+,,104.7,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH208,P1021,,47313,149.670,58,F,3,,102.6,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH209,P769,,47332,149.860,54,F,1.5,,102.1,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH210,P761,,47339,149.920,53,F,2,,103.8,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
