Year,Herd,Lambs,Month,Positives,Samp_Size,Status,Status3,StatusLat,Subspecies
2021,LAT,34,JUL,NA,NA,Pre,Pre,Post,Rocky
2022,LAT,39,JUL,NA,NA,Post,Post,Post,Rocky
2000,PE,35,APR,NA,NA,Pre,Pre,Pre,Desert
2000,PE,19,DEC,NA,NA,Pre,Pre,Pre,Desert
2001,PE,45,MAY,NA,NA,Pre,Pre,Pre,Desert
2001,PE,22,OCT,NA,NA,Pre,Pre,Pre,Desert
2002,PE,20,MAY,NA,NA,Pre,Pre,Pre,Desert
2002,PE,14,OCT/NOV,NA,NA,Pre,Pre,Pre,Desert
2003,PE,50,MAY,NA,NA,Pre,Pre,Pre,Desert
2004,PE,65,MAY/AUG,NA,NA,Pre,Pre,Pre,Desert
2004,PE,35,OCT,NA,NA,Pre,Pre,Pre,Desert
2005,PE,17,JAN/JUN,NA,NA,Pre,Pre,Pre,Desert
2005,PE,20,NOV,NA,NA,Pre,Pre,Pre,Desert
2006,PE,54,JUN,NA,NA,Pre,Pre,Pre,Desert
2007,PE,23,JAN/AUG,NA,NA,Pre,Pre,Pre,Desert
2009,PE,45,MAY,NA,NA,Pre,Pre,Pre,Desert
2010,PE,50,JUN,NA,NA,Pre,Pre,Pre,Desert
2011,PE,50,MAY,NA,NA,Pre,Pre,Pre,Desert
2012,PE,64,MAY,NA,NA,Pre,Pre,Pre,Desert
2013,PE,18,MAY,NA,NA,Pre,Pre,Pre,Desert
2014,PE,35,MAY,NA,NA,Pre,Pre,Pre,Desert
2015,PE,29,MAY,NA,NA,Pre,Pre,Pre,Desert
2016,PE,73,APR,NA,NA,Pre,Pre,Pre,Desert
2017,PE,45,MAY,NA,NA,Pre,Pre,Pre,Desert
2018,PE,37,MAY,0,33,Pre,Pre,Pre,Desert
2019,PE,38,MAY,NA,NA,Pre,Pre,Pre,Desert
2021,PE,39,MAY,NA,NA,Pre,Pre,Pre,Desert
2022,PE,64,JUN,NA,NA,Pre,Pre,Pre,Desert
2000,HAT,35,APR,NA,NA,Pre,Pre,Pre,Desert
2000,HAT,27,OCT,NA,NA,Pre,Pre,Pre,Desert
2001,HAT,29,MAY,NA,NA,Pre,Pre,Pre,Desert
2001,HAT,46,OCT,NA,NA,Pre,Pre,Pre,Desert
2002,HAT,40,MAY,NA,NA,Pre,Pre,Pre,Desert
2003,HAT,33,MAY,NA,NA,Pre,Pre,Pre,Desert
2004,HAT,50,MAY,NA,NA,Pre,Pre,Pre,Desert
2005,HAT,29,MAY,NA,NA,Pre,Pre,Pre,Desert
2005,LH,17,OCT,NA,NA,Pre,Pre,Pre,Desert
2005,BH,100,MAY,NA,NA,Pre,Pre,Pre,Desert
2006,LH,45,JUN,NA,NA,Pre,Pre,Pre,Desert
2006,LH,13,NOV,NA,NA,Pre,Pre,Pre,Desert
2007,LH,42,AUG,NA,NA,Pre,Pre,Pre,Desert
2007,BH,58,JUN,NA,NA,Pre,Pre,Pre,Desert
2007,LH,73,NOV,NA,NA,Pre,Pre,Pre,Desert
2008,LH,63,MAY,NA,NA,Pre,Pre,Pre,Desert
2008,BH,32,MAY,NA,NA,Pre,Pre,Pre,Desert
2009,LH,47,MAY,NA,NA,Pre,Pre,Pre,Desert
2009,BH,40,MAY,NA,NA,Pre,Pre,Pre,Desert
2010,BH,50,JUN,NA,NA,Pre,Pre,Pre,Desert
2010,LH,35,OCT,NA,NA,Pre,Pre,Pre,Desert
2011,BH,56,MAY,NA,NA,Pre,Pre,Pre,Desert
2012,LH,58,MAY,NA,NA,Pre,Pre,Pre,Desert
2012,BH,48,OCT,NA,NA,Pre,Pre,Pre,Desert
2012,LH,22,OCT,NA,NA,Pre,Pre,Pre,Desert
2013,LH,48,OCT,NA,NA,Pre,Pre,Pre,Desert
2013,BH,4,OCT,NA,NA,Pre,Pre,Pre,Desert
2014,LH,18,OCT,NA,NA,Pre,Pre,Pre,Desert
2014,BH,32,OCT,NA,NA,Pre,Pre,Pre,Desert
2015,LH,31,MAY,NA,NA,Pre,Pre,Pre,Desert
2015,BH,32,OCT,NA,NA,Pre,Pre,Pre,Desert
2016,LH,52,APR,NA,NA,Pre,Pre,Pre,Desert
2016,BH,37,APR,NA,NA,Pre,Pre,Pre,Desert
2017,LH,43,MAY,NA,NA,Pre,Pre,Pre,Desert
2017,BH,33,MAY,NA,NA,Pre,Pre,Pre,Desert
2017,LH,27,OCT,NA,NA,Pre,Pre,Pre,Desert
2018,BH,50,MAY,NA,NA,Pre,Pre,Pre,Desert
2019,LH,53,MAY,NA,NA,Pre,Pre,Pre,Desert
2019,BH,48,MAY,NA,NA,Pre,Pre,Pre,Desert
2021,LH,26,MAY,NA,NA,Pre,Pre,Pre,Desert
2021,BH,47,MAY,NA,NA,Pre,Pre,Pre,Desert
2022,LH,65,JUN,NA,NA,Pre,Pre,Pre,Desert
2022,BH,47,JUN,NA,NA,Pre,Pre,Pre,Desert
2000,FC,22,OCT,NA,NA,Pre,Pre,Pre,Desert
2001,FC,48,OCT,NA,NA,Pre,Pre,Pre,Desert
2002,FC,56,AUG,NA,NA,Pre,Pre,Pre,Desert
2003,FC,40,MAY,NA,NA,Pre,Pre,Pre,Desert
2004,FC,48,MAY,NA,NA,Pre,Pre,Pre,Desert
2004,FC,71,OCT,NA,NA,Pre,Pre,Pre,Desert
2006,FC,62,MAY,NA,NA,Pre,Pre,Pre,Desert
2007,FC,38,MAY,NA,NA,Pre,Pre,Pre,Desert
2007,FC,41,OCT,NA,NA,Pre,Pre,Pre,Desert
2008,FC,34,MAY,NA,NA,Pre,Pre,Pre,Desert
2010,FC,47,JUN,NA,NA,Pre,Pre,Pre,Desert
2011,FC,40,MAY,NA,NA,Pre,Pre,Pre,Desert
2012,FC,77,MAY,NA,NA,Pre,Pre,Pre,Desert
2013,FC,55,MAY,NA,NA,Pre,Pre,Pre,Desert
2013,FC,26,OCT,NA,NA,Pre,Pre,Pre,Desert
2014,FC,46,MAY,NA,NA,Pre,Pre,Pre,Desert
2015,FC,39,MAY,NA,NA,Pre,Pre,Pre,Desert
2015,FC,31,OCT,NA,NA,Pre,Pre,Pre,Desert
2016,FC,62,DEC,NA,NA,Pre,Pre,Pre,Desert
2017,FC,29,MAY,0,2,Post,Post,Post,Desert
2017,FC,21,NOV,0,2,Post,Post,Post,Desert
2018,FC,32,NOV,1,2,Post,Post,Post,Desert
2019,FC,21,DEC,NA,NA,Post,Post,Post,Desert
2020,FC,48,DEC,NA,NA,Post,Post,Post,Desert
2021,FC,25,OCT,0,22,Post,Post,Post,Desert
2008,CAB,57,MAY,NA,NA,Pre,Pre,Pre,Desert
2008,CAB,38,OCT,NA,NA,Pre,Pre,Pre,Desert
2009,CAB,86,JUN,NA,NA,Pre,Pre,Pre,Desert
2009,CAB,30,NOV,NA,NA,Pre,Pre,Pre,Desert
2010,CAB,76,NOV,NA,NA,Pre,Pre,Pre,Desert
2011,CAB,37,MAY,NA,NA,Pre,Pre,Pre,Desert
2012,CAB,44,NOV,NA,NA,Pre,Pre,Pre,Desert
2013,CAB,38,OCT,NA,NA,Pre,Pre,Pre,Desert
2014,CAB,23,OCT,NA,NA,Pre,Pre,Pre,Desert
2015,CAB,29,OCT,NA,NA,Pre,Pre,Pre,Desert
2016,CAB,55,OCT,NA,NA,Pre,Pre,Pre,Desert
2017,CAB,38,NOV,NA,NA,Pre,Pre,Pre,Desert
2018,CAB,49,OCT,NA,NA,Pre,Pre,Pre,Desert
2019,CAB,28,DEC,NA,NA,Post,Post,Post,Desert
2020,CAB,30,SEP,NA,NA,Post,Post,Post,Desert
2021,CAB,30,MAY,NA,NA,Post,Post,Post,Desert
2022,CAB,22,JUN,NA,NA,Post,Post,Post,Desert
2007,SA,33,AUG,NA,NA,Post,Post,Post,Desert
2008,SA,25,OCT,NA,NA,Post,Post,Post,Desert
2012,SA,19,OCT,NA,NA,Post,Pre,Post,Desert
2015,SA,14,OCT,NA,NA,Post,Pre,Post,Desert
2016,SA,31,OCT,NA,NA,Post,Pre,Post,Desert
2017,SA,27,NOV,3,16,Post,Post,Post,Desert
2019,SA,28,OCT,NA,NA,Post,Post,Post,Desert
2022,SA,7,OCT,NA,NA,Post,Pre,Post,Desert
2022,SA,13,DEC,NA,NA,Post,Pre,Post,Desert
2000,LA,18,OCT,NA,NA,Pre,Pre,Pre,Desert
2001,LA,46,OCT,NA,NA,Pre,Pre,Pre,Desert
2002,LA,25,MAY,NA,NA,Pre,Pre,Pre,Desert
2003,LA,73,APR,NA,NA,Pre,Pre,Pre,Desert
2004,LA,30,MAY,NA,NA,Pre,Pre,Pre,Desert
2006,LA,67,JUN,NA,NA,Pre,Pre,Pre,Desert
2008,LA,33,JUN,NA,NA,Pre,Pre,Pre,Desert
2009,LA,46,JUN,NA,NA,Pre,Pre,Pre,Desert
2009,LA,56,OCT,NA,NA,Pre,Pre,Pre,Desert
2010,LA,70,JUN,NA,NA,Pre,Pre,Pre,Desert
2012,LA,33,SEP,NA,NA,Pre,Pre,Pre,Desert
2013,LA,61,SEP,NA,NA,Pre,Pre,Pre,Desert
2014,LA,92,MAY,NA,NA,Pre,Pre,Pre,Desert
2018,LA,46,MAY,NA,NA,Post,Post,Post,Desert
2021,LA,24,MAY,NA,NA,Post,Pre,Post,Desert
2022,LA,17,JUN,NA,NA,Post,Pre,Post,Desert
2016,JZ,52,JUN,NA,NA,Pre,Pre,Pre,Rocky
2017,JZ,23,JUN,NA,NA,Pre,Pre,Pre,Rocky
2019,JZ,36,JUL,NA,NA,Pre,Pre,Pre,Rocky
2022,JZ,61,AUG,NA,NA,Pre,Pre,Pre,Rocky
2020,SAC,0,,1,24,Post,Post,Post,Desert
2021,SAC,28,,NA,NA,Post,Post,Post,Desert
2013,CUL,37,JUL,NA,NA,Pre,Pre,Pre,Rocky
2014,CUL,32,JUL,NA,NA,Pre,Pre,Pre,Rocky
2016,CUL,57,AUG,NA,NA,Pre,Pre,Pre,Rocky
2017,CUL,66,AUG,NA,NA,Pre,Pre,Pre,Rocky
2018,CUL,58,JUL,NA,NA,Pre,Pre,Pre,Rocky
2018,CUL,48,AUG,NA,NA,Pre,Pre,Pre,Rocky
2019,CUL,47,JUL,NA,NA,Pre,Pre,Pre,Rocky
2019,CUL,38,AUG,NA,NA,Pre,Pre,Pre,Rocky
2020,CUL,40,AUG,NA,NA,Pre,Pre,Pre,Rocky
2021,CUL,62,JUL,NA,NA,Pre,Pre,Pre,Rocky
2007,MZ,60,FEB,NA,NA,Pre,Pre,Pre,Rocky
2009,MZ,20,MAY,NA,NA,Pre,Pre,Pre,Rocky
2011,CUL,43,SEP,NA,NA,Pre,Pre,Pre,Rocky
2012,CUL,20,JUL,NA,NA,Pre,Pre,Pre,Rocky
2015,CUL,42,JUL,NA,NA,Pre,Pre,Pre,Rocky
2022,CUL,35,AUG,NA,NA,Post,Post,Post,Rocky
2012,LAT,54,JUL,NA,NA,Pre,Pre,Pre,Rocky
2008,LAT,41,JUL,NA,NA,Pre,Pre,Pre,Rocky
2003,SA,63,DEC,NA,NA,Pre,Pre,Pre,Desert
2004,SA,57,DEC,NA,NA,Pre,Pre,Pre,Desert
2005,SA,48,JUN,NA,NA,Pre,Pre,Pre,Desert
2009,SA,34,DEC,NA,NA,Post,Post,Post,Desert
2010,SA,29,OCT,NA,NA,Post,Post,Post,Desert
2021,SA,26,OCT,0,15,Post,Pre,Post,Desert
2018,JZ,100,JUN,NA,NA,Pre,Pre,Pre,Rocky
2021,JZ,14,SEP,NA,NA,Pre,Pre,Pre,Rocky
2019,SAC,50,NA,NA,NA,Post,Post,Post,Desert
2001,PEC,12,JUL,NA,NA,Pre,Pre,Pre,Rocky
2010,TC,67,OCT,NA,NA,Pre,Pre,Pre,Rocky
2012,TC,67,OCT,NA,NA,Pre,Pre,Pre,Rocky
