AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2,Year
R121,2018-13947,2018-11-07,2018-11-08,0,0,5.219,NA,NA,NA,SAC027,2018-10-28,SA,SAC,NA,F,4,NA,NA,NA,A,NA
R122,2018-13947,2018-11-07,2018-11-08,0,0,4.917,NA,NA,NA,PE201,2018-10-30,RRoc,PE,64,F,5,NA,NA,NA,A,NA
R123,2018-13947,2018-11-07,2018-11-08,0,0,-9.909,NA,NA,NA,PE196,2018-10-30,RRoc,PE,60,F,2.5,NA,NA,NA,A,NA
R124,2018-13947,2018-11-07,2018-11-08,0,0,-2.042,NA,NA,NA,PE204,2018-10-30,RRoc,PE,56,F,7,NA,NA,NA,A,NA
R130,2018-13947,2018-11-07,2018-11-08,0,0,-7.564,NA,NA,NA,PE185,2018-10-30,RRoc,PE,32,F,L,NA,NA,NA,L,NA
R131,2018-13947,2018-11-07,2018-11-08,0,0,-10.968,NA,NA,NA,PE191,2018-10-30,RRoc,PE,55,F,1.5,NA,NA,NA,Y,NA
R132,2018-13947,2018-11-07,2018-11-08,0,0,-9.455,NA,NA,NA,PE187,2018-10-30,RRoc,PE,70,F,8,NA,NA,NA,A,NA
R133,2018-13947,2018-11-07,2018-11-08,0,0,-8.472,NA,NA,NA,PE188,2018-10-30,RRoc,PE,53,F,3,NA,NA,NA,A,NA
R134,2018-13947,2018-11-07,2018-11-08,0,0,4.766,NA,NA,NA,PE192,2018-10-30,RRoc,PE,38,F,L,NA,NA,NA,L,NA
R140,2018-13947,2018-11-07,2018-11-08,0,0,1.967,NA,NA,NA,PE197,2018-10-30,RRoc,PE,51,F,2.5,NA,NA,NA,A,NA
R142,2018-13947,2018-11-07,2018-11-08,0,0,-1.74,NA,NA,NA,LH202,2018-10-30,RRoc,LH,77,M,5,NA,NA,NA,A,NA
R143,2018-13947,2018-11-07,2018-11-08,0,0,2.799,NA,NA,NA,PE195,2018-10-30,RRoc,PE,52,F,1.5,NA,NA,NA,Y,NA
R144,2018-13947,2018-11-07,2018-11-08,0,0,-18.23,NA,NA,NA,PE184,2018-10-30,RRoc,PE,40,M,L,NA,NA,NA,L,NA
R280,2018-13947,2018-11-07,2018-11-08,0,0,-0.605,NA,NA,NA,PE202,2018-10-30,RRoc,PE,51,F,1.5,NA,NA,NA,Y,NA
R281,2018-13947,2018-11-07,2018-11-08,0,0,-4.766,NA,NA,NA,SAC034,2018-10-28,SA,SAC,NA,M,2,NA,NA,NA,Y,NA
R282,2018-13947,2018-11-07,2018-11-08,0,0,-7.716,NA,NA,NA,SAC032,2018-10-28,SA,SAC,NA,M,2,NA,NA,NA,Y,NA
R283,2018-13947,2018-11-07,2018-11-08,0,0,-6.505,NA,NA,NA,SAC025,2018-10-28,SA,SAC,NA,M,5,NA,NA,NA,A,NA
R284,2018-13947,2018-11-07,2018-11-08,0,0,-7.262,NA,NA,NA,PE203,2018-10-30,RRoc,PE,70,F,5/7,NA,NA,NA,A,NA
R290,2018-13947,2018-11-07,2018-11-08,0,0,-4.539,NA,NA,NA,SAC029,2018-10-28,SA,SAC,NA,M,2,NA,NA,NA,Y,NA
R291,2018-13947,2018-11-07,2018-11-08,0,0,-4.236,NA,NA,NA,SAC019,2018-10-27,SA,SAC,NA,F,3,NA,NA,NA,A,NA
R292,2018-13947,2018-11-07,2018-11-08,0,0,-19.818,NA,NA,NA,SAC030,2018-10-28,SA,SAC,NA,M,L,NA,NA,NA,L,NA
R293,2018-13947,2018-11-07,2018-11-08,0,0,29.879,NA,NA,NA,PE206,2018-10-30,RRoc,PE,73,F,8,NA,NA,NA,A,NA
R294,2018-13947,2018-11-07,2018-11-08,0,0,21.634,NA,NA,NA,SAC028,2018-10-28,SA,SAC,NA,F,6,NA,NA,NA,A,NA
R510,2017-16020,2017-12-15,2018-01-02,0,0,23.897,NA,NA,NA,LA85,2017-12-11,FRA,LA,47,M,L,NA,NA,NA,L,NA
