AnimalID,Received_Date,PCR_Result,ELISA_Result,ELISA_Level,Notes,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Preg,Age2,Year,cat
O40/B27,2020-05-18,0,0,-8.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA(NA)
P1551,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA(NA)
P1809,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA(NA)
Y-45,2020-05-18,1,1,80.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA(NA)
Y585,2021-11-09,0,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA(NA)
B10,2020-05-18,1,0,39.76,NA,RG38,2020-03-11,NA,RGG,NA,F,3.5,NA,A,2020,A(F)
B15,2020-04-28,1,0,4.242,NA,RG57,2020-04-17,NA,RGG,NA,F,4,NA,A,2020,A(F)
B18,2020-05-27,0,1,52.582,NA,RR8,2020-05-21,NA,RGG,NA,F,11,NA,A,2020,A(F)
B2,2020-04-28,1,0,17.731,NA,RG43,2020-04-22,NA,RGG,NA,F,3,NA,A,2020,A(F)
B21,2020-04-28,0,0,2.397,NA,RG50,2020-04-22,NA,RGG,NA,F,3,NA,A,2020,A(F)
B29,2020-04-14,0,0,0.886,NA,RG37,2020-04-13,NA,RGG,NA,F,2,NA,Y,2020,Y(F)
B37,2020-05-27,0,0,7.636,NA,RR6,2020-05-21,NA,RGG,NA,F,11,NA,A,2020,A(F)
B50,2020-04-28,1,0,9.968,NA,RG51,2020-04-21,NA,RGG,NA,F,2,NA,Y,2020,Y(F)
B82,2022-04-06,1,1,62.418,NA,RR12,2022-03-30,NA,RRiv,NA,F,NA,NA,NA,2022,NA(F)
G527,2017-12-05,0,1,79.382,NA,SAE195,2017-12-02,NA,SA,NA,F,4-5,NA,A,2017,4-5(F)
G579,2017-12-05,NA,1,86.671,No PCR Result in Report,SAE191,2017-12-02,NA,SA,NA,F,1,NA,Y,2017,Y(F)
O27,2020-04-28,0,0,-3.902,NA,RG54,2020-04-17,NA,RGG,NA,M,6,NA,A,2020,A(M)
O28,2020-04-28,1,1,78.24,NA,RG56,2020-04-22,NA,RGG,NA,F,5,NA,A,2020,A(F)
O29,2020-05-18,1,1,67.008,NA,RG44,2020-05-08,NA,RGG,NA,F,2,NA,Y,2020,Y(F)
O31,2020-04-14,1,1,56.373,NA,RG33,2020-04-08,NA,RGG,NA,M,5,NA,A,2020,A(M)
O32,2020-11-02,0,0,-28.025,NA,LA117,20-10-30,NA,LA,NA,M,1,NA,Y,2020,Y(M)
O38,2020-05-18,1,0.5,47.707,NA,RG52,2020-05-08,NA,RGG,NA,F,4,NA,A,2020,A(F)
O39,2020-05-18,NA,0,29.007,NA,RG53,2020-05-08,NA,RGG,NA,M,3,NA,A,2020,A(M)
